DATE,TIME,TEMP,HUMID
10/22/2024, 3:09:39 PM,255,255
10/22/2024, 3:09:41 PM,255,255
10/22/2024, 3:09:44 PM,255,255
10/22/2024, 3:09:47 PM,255,255
10/22/2024, 3:09:50 PM,255,255
10/22/2024, 3:09:52 PM,255,255
10/22/2024, 3:09:55 PM,255,255
10/22/2024, 3:11:26 PM,0,0
10/22/2024, 3:11:36 PM,0,0
10/22/2024, 3:11:46 PM,0,0
10/22/2024, 3:31:03 PM,255,255
10/22/2024, 3:31:11 PM,255,255
10/22/2024, 3:31:13 PM,255,255
10/22/2024, 3:31:15 PM,255,255
10/22/2024, 3:31:16 PM,255,255
10/22/2024, 3:31:18 PM,255,255
10/22/2024, 3:31:20 PM,255,255
10/22/2024, 3:31:22 PM,255,255
10/22/2024, 3:31:23 PM,255,255
10/22/2024, 3:31:25 PM,255,255
10/22/2024, 3:31:27 PM,255,255
10/22/2024, 3:31:28 PM,255,255
10/22/2024, 3:31:30 PM,255,255
10/22/2024, 3:31:32 PM,255,255
10/22/2024, 3:31:34 PM,255,255
10/22/2024, 3:31:35 PM,255,255
10/22/2024, 3:31:37 PM,255,255
10/22/2024, 3:31:39 PM,255,255
10/22/2024, 3:31:40 PM,255,255
10/22/2024, 3:31:42 PM,255,255
10/22/2024, 3:31:44 PM,255,255
10/22/2024, 3:31:46 PM,255,255
10/22/2024, 3:31:47 PM,255,255
10/22/2024, 3:31:49 PM,255,255
10/22/2024, 3:31:51 PM,255,255
10/22/2024, 3:31:52 PM,255,255
10/22/2024, 3:31:54 PM,255,255
10/22/2024, 3:31:56 PM,255,255
10/22/2024, 3:31:58 PM,255,255
10/22/2024, 3:31:59 PM,255,255
10/22/2024, 3:32:01 PM,255,255
10/22/2024, 3:32:03 PM,255,255
10/22/2024, 3:32:04 PM,255,255
10/22/2024, 3:32:06 PM,255,255
10/22/2024, 3:32:08 PM,255,255
10/22/2024, 3:32:09 PM,255,255
10/22/2024, 3:32:11 PM,255,255
10/22/2024, 3:32:13 PM,255,255
10/22/2024, 3:32:15 PM,255,255
10/22/2024, 3:32:17 PM,255,255
10/22/2024, 3:32:19 PM,255,255
10/22/2024, 3:32:20 PM,255,255
10/27/2024, 2:39:55 PM,95,32
10/27/2024, 2:40:09 PM,95,31
10/27/2024, 2:40:41 PM,95,29
10/27/2024, 2:41:17 PM,95,29
10/27/2024, 2:41:29 PM,95,29
10/27/2024, 2:44:49 PM,95,32
10/27/2024, 2:45:19 PM,95,29
10/27/2024, 2:45:41 PM,95,28
10/27/2024, 2:46:07 PM,95,27
10/27/2024, 2:46:11 PM,95,27
10/27/2024, 2:46:50 PM,95,26
10/27/2024, 2:46:54 PM,95,26
10/27/2024, 2:48:22 PM,95,25
10/27/2024, 2:48:26 PM,95,25
10/27/2024, 2:48:30 PM,95,25
10/27/2024, 2:50:05 PM,95,25
10/27/2024, 2:50:15 PM,95,25
10/27/2024, 2:50:19 PM,95,25
10/27/2024, 2:50:23 PM,95,25
10/27/2024, 2:50:27 PM,95,25
10/27/2024, 2:50:31 PM,95,25
10/27/2024, 2:50:35 PM,95,25
10/27/2024, 2:50:39 PM,95,25
10/27/2024, 2:50:43 PM,95,25
10/27/2024, 2:50:47 PM,95,25
10/27/2024, 2:50:51 PM,95,25
10/27/2024, 2:50:55 PM,95,25
